MRPS,Evaluations
34,237.8
34,219.3
68,446.3
18,129.1
18,118.6
18,122.8
18,131.2
34,223
18,141.7
34,241.5
68,825.9
68,789.4
68,767.5
68,869.7
68,825.9
68,760.2
68,767.5
34,378.4
68,752.9
68,847.8
136,2495
136,2437
136,2437
136,2640
136,2553
136,2625.5
272,4711.7
272,4740.6
136,2509.5
136,2509.5
544,15118.4
544,14541.4
1088,27673
544,15637.7
272,8064.1
544,15003
544,14945.3
544,14656.8
544,14945.3
544,15233.8
2176,89435
4352,166846.8
2176,89665.5
2176,90587.5
4352,171455.8
2176,90357
4352,169151.3
2176,90587.5
2176,87360.5
2176,91279
